Esn,Country,Region Code,Device Description,Ip,Ts
NFANDROID1-PRV-S-L3-LENOVTB328FU-22589-3CFAB2D5CE770CA084B97ECF5B8A097F1259E6197381AD02B3610DD910139677,MX,MOR,Netflix MobileSignupStubRelease Android,2806:104e:14:9c93:7415:ad3:7323:a10a,2022-12-21 00:55:59
NFANDROID1-PRV-P-OPPO=CPH2365-21002-0BDF1F88CEBDA8134484A62768B64FCF615EB89DFC9FDCBFBA23D1EB4B544680B,MX,VER,DefaultWidevineAndroidPhone,201.175.203.72,2022-12-14 05:19:19
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,MX,MOR,DefaultWidevineAndroidPhone,2806:104e:14:26d9:4856:5b00:2527:1297,2022-11-16 00:48:49
NFCDSF-PH-JML38A7K4EQKXCGUYKCV0ML4454LDW,US,IL,iPhone,98.193.90.125,2022-10-14 16:25:18
NFANDROID1-PRV-P-OPPO=CPH2365-21002-C3B58A020997B1129732BFD08F1B4F8CF68D106F8427D3186AD0E70E6D9FCD11,MX,MOR,DefaultWidevineAndroidPhone,2806:104e:14:966b:89fa:3ec0:c465:9039,2023-07-06 00:56:08
NFCDCH-02-K915V5DAW4H0RDQNDM2KE4X1CJPFQN,US,IL,Chrome - Windows,2601:249:8400:bea0:c46b:940a:af7f:30f0,2023-06-19 17:59:26
NFAPPL-02-IPHONE15=2-E45DBCF73A013E902E1FEA69D0366A3018729C1F738B2D9B229D4B6B0645D7A7,US,IL,Apple iPhone 14 Pro iPhone,98.193.90.125,2023-06-01 02:36:33
NFAPPL-01-IPAD13=4-2BF42FDB2E1098B73EC8CF6A461F96AB86E5A8FA8AB1FE63DA0A12E2D7118636,US,IL,Apple iPad Pro 11 in 3rd Gen (Wi-Fi) iPad,2601:249:8400:bea0:4027:e2b6:787e:165d,2023-05-17 18:29:17
NFAPPL-02-IPHONE14=2-360B13948814227917C5338492AC69DE887B5DB32C4C05327518742853A9BF10,US,IL,Apple iPhone 13 Pro,2601:249:8400:bea0:b563:44c:e148:ae85,2023-05-04 17:43:49
NFAPPL-02-IPHONE14=2-360B13948814227917C5338492AC69DE887B5DB32C4C05327518742853A9BF10,US,IL,Apple iPhone 13 Pro,172.59.191.37,2023-05-01 19:52:57
NFANDROID1-PRV-T-LENOVTB328FU-23984-95F8A9D05C8CA7022101C5CF8873FE7CFD3AF71A4D52A63B94C6CF667A277B92,MX,MOR,DefaultWidevineAndroidTablets,2806:104e:14:a709:8cee:a574:fd47:1099,2023-04-28 05:36:10
NFANDROID1-PRV-P-OPPO=CPH2205-19879-A041C54BF6BCC26044AD5B32C8A320EA3503607FDC51914FFB9A196B83C4FC66,MX,MOR,DefaultWidevineAndroidPhone,2806:104e:14:a709:8c0b:b375:8a0b:aa1d,2023-04-26 23:20:56
NFAPPL-02-IPHONE15=2-99B54E830886E61A52C63401ADB27E0E493D14E2D6826B5DF14D40F106EEFCF7,US,IN,Apple iPhone 14 Pro iPhone,2600:1015:b049:55c0:8046:5614:95b2:fabf,2023-04-26 18:15:16
NFAPPL-02-IPHONE15=2-99B54E830886E61A52C63401ADB27E0E493D14E2D6826B5DF14D40F106EEFCF7,US,IL,Apple iPhone 14 Pro iPhone,98.193.90.125,2023-03-10 18:45:27
NFANDROID1-PRV-T-LENOVTB328FU-23984-95F8A9D05C8CA7022101C5CF8873FE7CFD3AF71A4D52A63B94C6CF667A277B92,MX,MOR,DefaultWidevineAndroidTablets,2806:104e:14:785b:90d9:567e:602e:baf8,2023-02-25 20:29:58
