Question Name,Question Current Txt,Answer Name,Answer Current Text,Answer Response Text,Locale Code,Event Utc Date
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Other,Other (please specify),,en-US,20220720
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),TV Shows,Doesn't have enough TV shows I want to watch,,en-US,20220116
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,en-US,20220116
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Price,Netflix is too expensive,,en-US,20220116
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),TV Shows,Doesn't have enough TV shows I want to watch,,en-US,20210922
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Movies,Doesn't have enough movies I want to watch,,en-US,20210922
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Competitors,Switching to other service(s),,en-US,20210922
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Price,Netflix is too expensive,,en-US,20210413
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),TV Shows,Doesn't have enough TV shows I want to watch,,en-US,20210413
Cancel Reasons,What are your main reasons for canceling your account with Netflix? (Select all that apply),Price,Netflix is too expensive,,en-US,20210122
